Date,Close,Volume,Open,High,Low
26-01-2018,93.395,"89,79,779",93,93.46,92.58
25-01-2018,92.33,26099100,92.465,93.24,91.93
24-01-2018,91.82,32735410,92.55,93.43,91.58
23-01-2018,91.9,23014000,91.9,92.3,91.54
22-01-2018,91.61,23511170,90,91.62,89.74
19-01-2018,90,35612750,90.14,90.61,89.66
18-01-2018,90.1,24138250,89.8,90.67,89.66
17-01-2018,90.14,25617320,89.08,90.28,88.75
16-01-2018,88.35,36584400,90.1,90.79,88.0104
12-01-2018,89.6,24261620,88.67,89.78,88.45
11-01-2018,88.08,17699700,88.13,88.13,87.24
10-01-2018,87.82,18639390,87.86,88.19,87.41
09-01-2018,88.22,19466220,88.65,88.7272,87.86
08-01-2018,88.28,22110230,88.2,88.58,87.6046
05-01-2018,88.19,23400070,87.66,88.41,87.43
04-01-2018,87.11,21904860,86.59,87.66,86.57
03-01-2018,86.35,25979960,86.055,86.51,85.97
02-01-2018,85.95,22122680,86.125,86.31,85.5
29-12-2017,85.54,18547840,85.63,86.05,85.5
28-12-2017,85.72,10589110,85.9,85.93,85.55
27-12-2017,85.71,14662250,85.65,85.98,85.215
26-12-2017,85.4,9883700,85.31,85.5346,85.03
